자백,jabaek,jabaeg,chabaek,capayk
주머니칼,jumeonikal,jumeonikal,chumŏnik'al,cwumenikhal
주먹,jumeok,jumeog,chumŏk,cwumek
주목하다,jumokhada,jumog-hada,chumokhada,cwumok.hata
주무르다,jumureuda,jumuleuda,chumurŭda,cwumuluta
주무시다,jumusida,jumusida,chumusida,cwumusita
주문,jumun,jumun,chumun,cwūmun
주문하다,jumunhada,jumun-hada,chumunhada,cwūmun.hata
주바,Juba,Juba,Chuba,Cwupa
주방,jubang,jubang,chubang,cwupang
주방장,jubangjang,jubangjang,chubangjang,cwupangcang
주변,jubyeon,jubyeon,chubyŏn,cwupyen
주부,jubu,jubu,chubu,cwupu
주뼛주뼛,juppyeotjuppyeot,juppyeosjuppyeos,chuppyŏtchuppyŏt,cwuppyesqcwuppyes
주사기,jusagi,jusagi,chusagi,cwūsaki
주사위,jusawi,jusawi,chusawi,cwusawi
주석,juseok,juseog,chusŏk,cwusek
주소,juso,juso,chuso,cwūso
주스,juseu,juseu,chusŭ,cwusu
주식,jusik,jusig,chusik,cwusik
주어지다,jueojida,jueojida,chuŏjida,cwuecita
주연,juyeon,juyeon,chuyŏn,cwuyen
주요,juyo,juyo,chuyo,cwuyo
주요하다,juyohada,juyohada,chuyohada,cwuyohata
주위,juwi,juwi,chuwi,cwuwi
주유소,juyuso,juyuso,chuyuso,cwūyuso
주의하다,juuihada,juuihada,chuŭihada,cwuuyhata
주인,ju-in,ju-in,chuin,cwuin
주인공,ju-in-gong,ju-ingong,chuin'gong,cwuinkong
주일,ju-il,ju-il,chuil,cwuil
주장,jujang,jujang,chujang,cwucang
주저앉다,jujeoanda,jujeoanjda,chujŏanta,cwuceancqta
주전자,jujeonja,jujeonja,chujŏnja,cwucenca
주제,juje,juje,chuje,cwucey
주차,jucha,jucha,chuch'a,cwūcha
주차장,juchajang,juchajang,chuch'ajang,cwūchacang
주차하다,juchahada,juchahada,chuch'ahada,cwūchahata
주체,juche,juche,chuch'e,cwuchey
주키니,jukini,jukini,chuk'ini,cwukhini
주택,jutaek,jutaeg,chut'aek,cwūthayk
주판,jupan,jupan,chup'an,cwūphan
주황색,juhwangsaek,juhwangsaeg,chuhwangsaek,cwuhwangsayk
죽다,jukda,jugda,chukta,cwukqta
죽순,juksun,jugsun,chuksun,cwukqswun
죽음,jugeum,jug-eum,chugŭm,cwuk.um
죽이다,jugida,jug-ida,chugida,cwuk.ita
죽지,jukji,jugji,chukchi,cwukqci
준말,junmal,junmal,chunmal,cwūnmal
준비,junbi,junbi,chunbi,cwūnpi
준비하다,junbihada,junbihada,chunbihada,cwūnpihata
줄곧,julgot,julgod,chulgot,cwulkot
줄공치,julgongchi,julgongchi,chulgongch'i,cwulkongchi
줄납자루,jullapjaru,julnabjalu,chullapcharu,cwulnapqcalwu
줄다,julda,julda,chulda,cwūlta
줄망둑,julmangduk,julmangdug,chulmangduk,cwulmangtwuk
줄몰개,julmolgae,julmolgae,chulmolgae,cwulmolkay
줄박이돌고래,julbagidolgorae,julbag-idolgolae,chulbagidolgorae,cwulpak.itolkolay
줄어들다,jureodeulda,jul-eodeulda,churŏdŭlda,cwul.etulta
줄이다,jurida,jul-ida,churida,cwul.ita
줄종개,juljonggae,juljonggae,chuljonggae,cwulcongkay
줍다,jupda,jubda,chupta,cwūpqta
중2병,jung-ibyeong,jung-ibyeong,chungibyŏng,cwung.ipyeng
중간,junggan,junggan,chunggan,cwungkan
중개인,junggaein,junggaein,chunggaein,cwungkayin
중경,Junggyeong,Junggyeong,Chunggyŏng,Cwungkyeng
중계,junggye,junggye,chunggye,cwungkyey
중고기,junggogi,junggogi,chunggogi,cwūngkoki
중공,junggong,junggong,chunggong,cwungkong
중국,Jungguk,Junggug,Chungguk,Cwungkwuk
중국산개구리,jungguksan-gaeguri,junggugsangaeguli,chungguksan'gaeguri,cwungkwukqsankaykwuli
중국어,junggugeo,junggug-eo,chunggugŏ,cwungkwuk.e
중국인,junggugin,junggug-in,chunggugin,cwungkwuk.in
중국집,junggukjip,junggugjib,chunggukchip,cwungkwukqcip
중년,jungnyeon,jungnyeon,chungnyŏn,cwungnyen
중대,jungdae,jungdae,chungdae,cwungtay
중대백로,jungdaebaengno,jungdaebaeglo,chungdaebaengno,cwungtaypayklo
중대하다,jungdaehada,jungdaehada,chungdaehada,cwungtayhata
중도,jungdo,jungdo,chungdo,cwungto
중독,jungdok,jungdog,chungdok,cwungtok
중동,Jungdong,Jungdong,Chungdong,Cwungtong
중량,jungnyang,junglyang,chungnyang,cwūnglyang
중력,jungnyeok,junglyeog,chungnyŏk,cwunglyek
중력자,jungnyeokja,junglyeogja,chungnyŏkcha,cwūnglyekqca
중립,jungnip,junglib,chungnip,cwunglip
중반,jungban,jungban,chungban,cwungpan
중백로,jungbaengno,jungbaeglo,chungbaengno,cwungpayklo
중복되다,jungbokdoeda,jungbogdoeda,chungboktoeda,cwūngpokqtoyta
중부,jungbu,jungbu,chungbu,cwungpu
중성,jungseong,jungseong,chungsŏng,cwungseng
중성자,jungseongja,jungseongja,chungsŏngja,cwungsengca
중세,jungse,jungse,chungse,cwungsey
중소기업,jungsogieop,jungsogieob,chungsogiŏp,cwungsokiep
중순,jungsun,jungsun,chungsun,cwungswun
중심,jungsim,jungsim,chungsim,cwungsim
중앙,jung-ang,jung-ang,chungang,cwung.ang
중앙아프리카 공화국,Jung-ang-apeurika gonghwaguk,Jung-ang-apeulika gonghwagug,Chungangap'ŭrik'a konghwaguk,Cwung.ang.aphulikha konghwakwuk
중얼거리다,jung-eolgeorida,jung-eolgeolida,chungŏlgŏrida,cwung.elkelita
중얼중얼,jung-eoljung-eol,jung-eoljung-eol,chungŏljungŏl,cwung.elcwung.el
중요,jung-yo,jung-yo,chungyo,cwūng.yo
중요성,jung-yoseong,jung-yoseong,chungyosŏng,cwūng.yoseng
중요하다,jung-yohada,jung-yohada,chungyohada,cwūng.yohata
중재인,jungjaein,jungjaein,chungjaein,cwungcayin
중적분,jungjeokbun,jungjeogbun,chungjŏkpun,cwungcekqpun
중학교,junghakgyo,junghaggyo,chunghakkyo,cwunghakqkyo
중화,Junghwa,Junghwa,Chunghwa,Cwunghwa
중화민국,Junghwamin-guk,Junghwamingug,Chunghwamin'guk,Cwunghwaminkwuk
중화인민공화국,Junghwainmin-gonghwaguk,Junghwainmingonghwagug,Chunghwainmin'gonghwaguk,Cwūnghwainminkonghwakwuk
쥐다,jwida,jwida,chwida,cwita
쥐며느리,jwimyeoneuri,jwimyeoneuli,chwimyŏnŭri,cwimyenuli
즉시,jeuksi,jeugsi,chŭksi,cukqsi
즐거움,jeulgeoum,jeulgeoum,chŭlgŏum,culkewum
즐겁다,jeulgeopda,jeulgeobda,chŭlgŏpta,culkepqta
즐기다,jeulgida,jeulgida,chŭlgida,culkita
증가,jeungga,jeungga,chŭngga,cungka
증가시키다,jeunggasikida,jeunggasikida,chŭnggasik'ida,cungkasikhita
증가하다,jeunggahada,jeunggahada,chŭnggahada,cungkahata
증거,jeunggeo,jeunggeo,chŭnggŏ,cungke
증권,jeunggwon,jeunggwon,chŭngkwŏn,cungqkwen
증권사,jeunggwonsa,jeunggwonsa,chŭngkwŏnsa,cungqkwensa
증기,jeunggi,jeunggi,chŭnggi,cungki
증기선,jeunggiseon,jeunggiseon,chŭnggisŏn,cungkisen
증명,jeungmyeong,jeungmyeong,chŭngmyŏng,cungmyeng
증명하다,jeungmyeonghada,jeungmyeonghada,chŭngmyŏnghada,cungmyenghata
증상,jeungsang,jeungsang,chŭngsang,cungsang
증오심,jeung-osim,jeung-osim,chŭngosim,cung.osim
증인,jeung-in,jeung-in,chŭngin,cung.in
증정,jeungjeong,jeungjeong,chŭngjŏng,cungceng
증진하다,jeungjinhada,jeungjin-hada,chŭngjinhada,cungcin.hata
증후군,jeunghugun,jeunghugun,chŭnghugun,cunghwukwun
지각,jigak,jigag,chigak,cikak
지갑,jigap,jigab,chigap,cikap
지겹다,jigyeopda,jigyeobda,chigyŏpta,cikyepqta
지경,jigyeong,jigyeong,chigyŏng,cikyeng
지구,jigu,jigu,chigu,cikwu
지구대,jigudae,jigudae,chigudae,cikwutay
지구본,jigubon,jigubon,chigubon,cikwupon
지구의,jiguui,jiguui,chiguŭi,cikwuuy
지금,jigeum,jigeum,chigŭm,cikum
지껄이다,jikkeorida,jikkeol-ida,chikkŏrida,cikkel.ita
지나가다,jinagada,jinagada,chinagada,cinakata
지나치다,jinachida,jinachida,chinach'ida,cinachita
지난,jinan,jinan,chinan,cinan
지난달,jinandal,jinandal,chinandal,cinantal
지난밤,jinanbam,jinanbam,chinanbam,cinanpam
지난번,jinanbeon,jinanbeon,chinanbŏn,cinanpen
지난해,jinanhae,jinan-hae,chinanhae,cinan.hay
지내다,jinaeda,jinaeda,chinaeda,cīnayta
지네,jine,jine,chine,ciney
지느러미,jineureomi,jineuleomi,chinŭrŏmi,cinulemi
지능,jineung,jineung,chinŭng,cinung
지니다,jinida,jinida,chinida,cinita
지다,jida,jida,chida,cita
지대,jidae,jidae,chidae,citay
지도,jido,jido,chido,cito
지도자,jidoja,jidoja,chidoja,citoca
지도책,jidochaek,jidochaeg,chidoch'aek,citochayk
지라,jira,jila,chira,cila
지라프,jirapeu,jilapeu,chirap'ŭ,cilaphu
지랄하다,jiralhada,jilal-hada,chirarhada,cilal.hata
지뢰,jiroe,jiloe,chiroe,ciloy
지루하다,jiruhada,jiluhada,chiruhada,cilwuhata
지류,jiryu,jilyu,chiryu,cilyu
지르다,jireuda,jileuda,chirŭda,ciluta
지르코늄,jireukonyum,jileukonyum,chirŭk'onyum,cilukhonyum
지름,jireum,jileum,chirŭm,cilum
지름길,jireumgil,jileumgil,chirŭmgil,cilumkil
지리학,jirihak,jilihag,chirihak,cilihak
지린,Jirin,Jilin,Chirin,Cilin
지만,jiman,jiman,chiman,ciman
지명,jimyeong,jimyeong,chimyŏng,cimyeng
지방,jibang,jibang,chibang,cipang
지방산,jibangsan,jibangsan,chibangsan,cipangsan
지방족,jibangjok,jibangjog,chibangjok,cipangcok
지배하다,jibaehada,jibaehada,chibaehada,cipayhata
지복직관,jibokjikgwan,jibogjiggwan,chibokchikkwan,cīpokqcikqkwan
지부티,Jibuti,Jibuti,Chibut'i,Ciputhi
지불,jibul,jibul,chibul,cipul
지불하다,jibulhada,jibul-hada,chiburhada,cipul.hata
지사,jisa,jisa,chisa,cisa
지속적,jisokjeok,jisogjeog,chisokchŏk,cisokqcek
지시,jisi,jisi,chisi,cisi
지시봉,jisibong,jisibong,chisibong,cisipong
지시하다,jisihada,jisihada,chisihada,cisihata
지식,jisik,jisig,chisik,cisik
지식인,jisigin,jisig-in,chisigin,cisik.in
지어내다,jieonaeda,jieonaeda,chiŏnaeda,cienayta
지옥,jiok,jiog,chiok,ciok
지옥철,jiokcheol,jiogcheol,chiokch'ŏl,ciokchel
지우개,jiugae,jiugae,chiugae,ciwukay
지우다,jiuda,jiuda,chiuda,ciwuta
지원,jiwon,jiwon,chiwŏn,ciwen
지원자,jiwonja,jiwonja,chiwŏnja,ciwenca
지원하다,jiwonhada,jiwon-hada,chiwŏnhada,ciwen.hata
지위,jiwi,jiwi,chiwi,ciwi
지읒,jieut,jieuj,chiŭt,ciuc
지저귀다,jijeogwida,jijeogwida,chijŏgwida,cicekwita
지적,jijeok,jijeog,chijŏk,cicek
지적되다,jijeokdoeda,jijeogdoeda,chijŏktoeda,cicekqtoyta
지적하다,jijeokhada,jijeog-hada,chijŏkhada,cicek.hata
지점,jijeom,jijeom,chijŏm,cicem
지주,jiju,jiju,chiju,cicwu
지중해,jijunghae,jijunghae,chijunghae,cicwunghay
지지,jiji,jiji,chiji,cici
지지자,jijija,jijija,chijija,cicica
지지하다,jijihada,jijihada,chijihada,cicihata
지진,jijin,jijin,chijin,cicin
지진 해일,jijin haeil,jijin haeil,chijin haeil,cicin hayil
지질,jijil,jijil,chijil,cicil
지질학,jijilhak,jijil-hag,chijirhak,cicil.hak
지출,jichul,jichul,chich'ul,cichwul
지치다,jichida,jichida,chich'ida,cīchita
지켜보다,jikyeoboda,jikyeoboda,chik'yŏboda,cikhyepota
지키다,jikida,jikida,chik'ida,cikhita
지팡이,jipang-i,jipang-i,chip'angi,ciphang.i
지퍼,jipeo,jipeo,chip'ŏ,ciphe
지평선,jipyeongseon,jipyeongseon,chip'yŏngsŏn,ciphyengsen
지폐,jipye,jipye,chip'ye,ciphyey
지푸라기,jipuragi,jipulagi,chip'uragi,ciphulaki
지피다,jipida,jipida,chip'ida,ciphita
지하,jiha,jiha,chiha,ciha
지하도,jihado,jihado,chihado,cihato
지하드,jihadeu,jihadeu,chihadŭ,cihatu
지하실,jihasil,jihasil,chihasil,cihasil
지하철,jihacheol,jihacheol,chihach'ŏl,cihachel
지협,jihyeop,jihyeob,chihyŏp,cihyep
지혜,jihye,jihye,chihye,cihyey
지혜서,Jihyeseo,Jihyeseo,Chihyesŏ,Cihyeyse
지휘소,jihwiso,jihwiso,chihwiso,cihwiso
직감,jikgam,jiggam,chikkam,cikqkam
직관,jikgwan,jiggwan,chikkwan,cikqkwan
직기,jikgi,jiggi,chikki,cikqki
직물,jingmul,jigmul,chingmul,cikmul
직발,jikbal,jigbal,chikpal,cikqpal
직사각형,jiksagakhyeong,jigsagag-hyeong,chiksagakhyŏng,cikqsakak.hyeng
직업,jigeop,jig-eob,chigŏp,cik.ep
직원,jigwon,jig-won,chigwŏn,cik.wen
직장,jikjang,jigjang,chikchang,cikqcang
직전,jikjeon,jigjeon,chikchŏn,cikqcen
직접,jikjeop,jigjeob,chikchŏp,cikqcep
직접적,jikjeopjeok,jigjeobjeog,chikchŏpchŏk,cikqcepqcek
직접화법,jikjeophwabeop,jigjeob-hwabeob,chikchŏphwabŏp,cikqcep.hwapep
직캠,jikkaem,jigkaem,chikk'aem,cikkhaym
직할시,jikhalsi,jig-halsi,chikhalsi,cik.halsi
직후,jikhu,jig-hu,chikhu,cik.hwu
진공,jin-gong,jingong,chin'gong,cinkong
진공청소기,jin-gongcheongsogi,jingongcheongsogi,chin'gongch'ŏngsogi,cinkongchengsoki
진균,jin-gyun,jingyun,chin'gyun,cinkyun
진눈깨비,jinnunkkaebi,jinnunkkaebi,chinnunkkaebi,cinnwunkkaypi
진단,jindan,jindan,chindan,cīntan
진동수,jindongsu,jindongsu,chindongsu,cintongswu
진료소,jillyoso,jinlyoso,chillyoso,cīnlyoso
진리,jilli,jinli,chilli,cinli
진보,jinbo,jinbo,chinbo,cīnpo
진부하다,jinbuhada,jinbuhada,chinbuhada,cinpuhata
진실,jinsil,jinsil,chinsil,cinsil
진실하다,jinsilhada,jinsil-hada,chinsirhada,cinsil.hata
진심,jinsim,jinsim,chinsim,cinsim
진여,jinyeo,jin-yeo,chinyŏ,cin.ye
진열장,jinyeoljang,jin-yeoljang,chinyŏljang,cīn.yelcang
진원지,jinwonji,jin-wonji,chinwŏnji,cin.wenci
진정하다,jinjeonghada,jinjeonghada,chinjŏnghada,cincenghata
진주,jinju,jinju,chinju,cincwu
진주층,jinjucheung,jinjucheung,chinjuch'ŭng,cincwuchung
진지,jinji,jinji,chinji,cīnci
진지하다,jinjihada,jinjihada,chinjihada,cincihata
진짜,jinjja,jinjja,chintcha,cincca
진출,jinchul,jinchul,chinch'ul,cīnchwul
진출하다,jinchulhada,jinchul-hada,chinch'urhada,cīnchwul.hata
진하다,jinhada,jin-hada,chinhada,cin.hata
진행,jinhaeng,jin-haeng,chinhaeng,cīn.hayng
진행되다,jinhaengdoeda,jin-haengdoeda,chinhaengdoeda,cīn.hayngtoyta
진행자,jinhaengja,jin-haengja,chinhaengja,cīn.hayngca
진행하다,jinhaenghada,jin-haenghada,chinhaenghada,cīn.haynghata
진화,jinhwa,jin-hwa,chinhwa,cin.hwa
질녀,jillyeo,jilnyeo,chillyŏ,cilnye
질량,jillyang,jillyang,chillyang,cillyang
질리다,jillida,jillida,chillida,cillita
질문,jilmun,jilmun,chilmun,cilmun
질문하다,jilmunhada,jilmun-hada,chilmunhada,cilmun.hata
질병,jilbyeong,jilbyeong,chilbyŏng,cilpyeng
질서,jilseo,jilseo,chilssŏ,cilqse
질소,jilso,jilso,chilso,cilso
질책하다,jilchaekhada,jilchaeg-hada,chilch'aekhada,cilchayk.hata
질투,jiltu,jiltu,chilt'u,cilthwu
질환,jilhwan,jil-hwan,chirhwan,cil.hwan
짊다,jimda,jilmda,chimta,cilmta
짊어지다,jilmeojida,jilm-eojida,chilmŏjida,cilm.ecita
짐바브웨,Jimbabeuwe,Jimbabeuwe,Chimbabŭwe,Cimpapuwey
짐승,jimseung,jimseung,chimsŭng,cimsung
짐작,jimjak,jimjag,chimjak,cimcak
짐작하다,jimjakhada,jimjag-hada,chimjakhada,cimcak.hata
집게,jipge,jibge,chipke,cipqkey
집다,jipda,jibda,chipta,cipqta
집단,jipdan,jibdan,chiptan,cipqtan
집단화,jipdanhwa,jibdan-hwa,chiptanhwa,cipqtan.hwa
집들,jipdeul,jibdeul,chiptŭl,cipqtul
집들이,jipdeuri,jibdeul-i,chiptŭri,cipqtul.i
집박쥐,jipbakjwi,jibbagjwi,chippakchwi,cipqpakqcwi
집사람,jipsaram,jibsalam,chipsaram,cipqsalam
집안,jiban,jib-an,chiban,cip.an
집어넣다,jibeoneota,jib-eoneohda,chibŏnŏt'a,cip.enehta
집중,jipjung,jibjung,chipchung,cipqcwung
집중되다,jipjungdoeda,jibjungdoeda,chipchungdoeda,cipqcwungtoyta
집쥐,jipjwi,jibjwi,chipchwi,cipqcwi
집토끼,jiptokki,jibtokki,chipt'okki,cipthokki
집필,jippil,jibpil,chipp'il,cipphil
집합,jiphap,jib-hab,chiphap,cip.hap
집회,jiphoe,jib-hoe,chiphoe,cip.hoy
집회서,Jiphoeseo,Jib-hoeseo,Chiphoesŏ,Cip.hoyse
짓궂다,jitgutda,jisgujda,chitkutta,cīsqkwucqta
짓다,jitda,jisda,chitta,cīsqta
징계,jinggye,jinggye,chinggye,cingkyey
징그럽다,jinggeureopda,jinggeuleobda,chinggŭrŏpta,cingkulepqta
짖다,jitda,jijda,chitta,cicqta
짙다,jitda,jitda,chitta,cithqta
짙푸르다,jitpureuda,jitpuleuda,chitp'urŭda,cithphuluta
짚다,jipda,jipda,chipta,ciphqta
짜다,jjada,jjada,tchada,ccata
짜릿하다,jjarithada,jjalishada,tcharithada,ccalishata
짜장면,jjajangmyeon,jjajangmyeon,tchajangmyŏn,ccacangmyen
짜증,jjajeung,jjajeung,tchajŭng,ccacung
짜하다,jjahada,jjahada,tchahada,ccāhata
짝사랑,jjaksarang,jjagsalang,tchaksarang,ccakqsalang
짝짓기,jjakjitgi,jjagjisgi,tchakchitki,ccakqcisqki
짝짓다,jjakjitda,jjagjisda,tchakchitta,ccakqcisqta
짠하다,jjanhada,jjan-hada,tchanhada,ccān.hata
짧다,jjalda,jjalbda,tchalta,ccalpqta
짧은부리참돌고래,jjalbeunburichamdolgorae,jjalb-eunbulichamdolgolae,tchalbŭnburich'amdolgorae,ccalp.unpulichamtolkolay
짬뽕,jjamppong,jjamppong,tchamppong,ccamppong
짭새,jjapsae,jjabsae,tchapsae,ccapqsay
짭짤하다,jjapjjalhada,jjabjjal-hada,tchaptcharhada,ccapccal.hata
짱개,jjanggae,jjanggae,tchanggae,ccangkay
짱깨,jjangkkae,jjangkkae,tchangkkae,ccangkkay
짱꼴라,jjangkkolla,jjangkkolla,tchangkkolla,ccangkkolla
짱뚱어,jjangttung-eo,jjangttung-eo,tchangttungŏ,ccangttwung.e
쩍다,jjeokda,jjeogda,tchŏkta,ccekqta
쩨마,jjema,jjema,tchema,cceyma
쪼개다,jjogaeda,jjogaeda,tchogaeda,ccokayta
쪼다,jjoda,jjoda,tchoda,ccota
쪽발이,jjokbari,jjogbal-i,tchokpari,ccokqpal.i
쫓기다,jjotgida,jjochgida,tchotkida,ccochqkita
쫓다,jjotda,jjochda,tchotta,ccochqta
쯔놈,jjeunom,jjeunom,tchŭnom,ccunom
찌개,jjigae,jjigae,tchigae,ccikay
찌그러지다,jjigeureojida,jjigeuleojida,tchigŭrŏjida,ccikulecita
찌다,jjida,jjida,tchida,ccita
찌르다,jjireuda,jjileuda,tchirŭda,cciluta
찌창,jjichang,jjichang,tchich'ang,ccichang
찌푸리다,jjipurida,jjipulida,tchip'urida,cciphulita
찍다,jjikda,jjigda,tchikta,ccikqta
찍소리,jjiksori,jjigsoli,tchiksori,ccikqsoli
찐만두,jjinmandu,jjinmandu,tchinmandu,ccinmantwu
찔리다,jjillida,jjillida,tchillida,ccillita
찜질방,jjimjilbang,jjimjilbang,tchimjilbang,ccimcilpang
찡그리다,jjinggeurida,jjinggeulida,tchinggŭrida,ccingkulita
찢다,jjitda,jjijda,tchitta,ccicqta
찢어지다,jjijeojida,jjij-eojida,tchijŏjida,ccic.ecita
찧다,jjita,jjihda,tchit'a,ccihta
차갑다,chagapda,chagabda,ch'agapta,chakapqta
차고,chago,chago,ch'ago,chako
차다,chada,chada,ch'ada,chata
차드,Chadeu,Chadeu,Ch'adŭ,Chatu
차라리,charari,chalali,ch'arari,chalali
차량,charyang,chalyang,ch'aryang,chalyang
차례,charye,chalye,ch'arye,chalyey
차례차례,charyecharye,chalyechalye,ch'aryech'arye,chalyeychalyey
차리다,charida,chalida,ch'arida,chalita
차림,charim,chalim,ch'arim,chalim
차림표,charimpyo,chalimpyo,ch'arimp'yo,chalimphyo
차별,chabyeol,chabyeol,ch'abyŏl,chapyel
차분몫,chabunmok,chabunmogs,ch'abunmok,chapunmoks
차분법,chabunbeop,chabunbeob,ch'abunbŏp,chapunpep
차색,chasaek,chasaeg,ch'asaek,chasayk
차원,chawon,chawon,ch'awŏn,chawen
차이,chai,chai,ch'ai,chai
차이니스,chainiseu,chainiseu,ch'ainisŭ,chainisu
차지하다,chajihada,chajihada,ch'ajihada,chacihata
차츰,chacheum,chacheum,ch'ach'ŭm,chachum
차트,chateu,chateu,ch'at'ŭ,chathu
착각,chakgak,chaggag,ch'akkak,chakqkak
착륙,changnyuk,chaglyug,ch'angnyuk,chaklyuk
착용하다,chagyonghada,chag-yonghada,ch'agyonghada,chak.yonghata
착하다,chakhada,chag-hada,ch'akhada,chak.hata
찬가,chan-ga,changa,ch'an'ka,chānqka
찬넬동자개,channeldongjagae,channeldongjagae,ch'anneldongjagae,channeyltongcakay
찬란하다,challanhada,chanlan-hada,ch'allanhada,chanlan.hata
찬사,chansa,chansa,ch'ansa,chānsa
찬스,chanseu,chanseu,ch'ansŭ,chansu
찬장,chanjang,chanjang,ch'anjang,chāncang
찰,chal,chal,ch'al,chal
찰나,challa,chalna,ch'alla,chalna
찰밥,chalbap,chalbab,ch'albap,chalpap
찰흙,chalheuk,chal-heulg,ch'arhŭk,chal.hulk
참가,chamga,chamga,ch'amga,chamka
참가하다,chamgahada,chamgahada,ch'amgahada,chamkahata
참개구리,chamgaeguri,chamgaeguli,ch'amgaeguri,chamkaykwuli
참고,chamgo,chamgo,ch'amgo,chamko
참고서,chamgoseo,chamgoseo,ch'amgosŏ,chamkose
참기름,chamgireum,chamgileum,ch'amgirŭm,chamkilum
참다,chamda,chamda,ch'amta,chāmqta
참되다,chamdoeda,chamdoeda,ch'amtoeda,chamqtoyta
참둑중개,chamdukjunggae,chamdugjunggae,ch'amdukchunggae,chamtwukqcwungkay
참마자,chammaja,chammaja,ch'ammaja,chammaca
참말,chammal,chammal,ch'ammal,chammal
참매,chammae,chammae,ch'ammae,chammay
참몰개,chammolgae,chammolgae,ch'ammolgae,chammolkay
참붕어,chambung-eo,chambung-eo,ch'ambungŏ,champung.e
참새,chamsae,chamsae,ch'amsae,chamsay
참석하다,chamseokhada,chamseog-hada,ch'amsŏkhada,chamsek.hata
참수리,chamsuri,chamsuli,ch'amsuri,chamswuli
참여,chamyeo,cham-yeo,ch'amyŏ,cham.ye
참여하다,chamyeohada,cham-yeohada,ch'amyŏhada,cham.yehata
참외,chamoe,cham-oe,ch'amoe,cham.oy
참으로,chameuro,cham-eulo,ch'amŭro,cham.ulo
참을성,chameulseong,cham-eulseong,ch'amŭlsŏng,cham.ulseng
참전,chamjeon,chamjeon,ch'amjŏn,chamcen
참종개,chamjonggae,chamjonggae,ch'amjonggae,chamcongkay
참주,chamju,chamju,ch'amju,chāmcwu
참중고기,chamjunggogi,chamjunggogi,ch'amjunggogi,chamcwungkoki
찹쌀,chapssal,chabssal,ch'apssal,chapssal
찻숱가락,chatsutgarak,chassutgalag,ch'assutkarak,chasqswuthqkalak
찻주전자,chatjujeonja,chasjujeonja,ch'atchujŏnja,chasqcwucenca
찻집,chatjip,chasjib,ch'atchip,chasqcip
창고,changgo,changgo,ch'anggo,changko
창녀,changnyeo,changnyeo,ch'angnyŏ,changnye
창문,changmun,changmun,ch'angmun,changmun
창밖,changbak,changbakk,ch'angbak,changpakk
창세기,Changsegi,Changsegi,Ch'angsegi,Changseyki
창원,Chang-won,Chang-won,Ch'angwŏn,Chang.wen
창자,changja,changja,ch'angja,changca
창조,changjo,changjo,ch'angjo,changco
창조자,changjoja,changjoja,ch'angjoja,chāngcoca
창조적,changjojeok,changjojeog,ch'angjojŏk,chāngcocek
창조하다,changjohada,changjohada,ch'angjohada,chāngcohata
창턱,changteok,changteog,ch'angt'ŏk,changthek
창포검,changpogeom,changpogeom,ch'angp'ogŏm,changphokem
찾다,chatda,chajda,ch'atta,chacqta
찾아가다,chajagada,chaj-agada,ch'ajagada,chac.akata
찾아내다,chajanaeda,chaj-anaeda,ch'ajanaeda,chac.anayta
찾아보다,chajaboda,chaj-aboda,ch'ajaboda,chac.apota
찾아오다,chajaoda,chaj-aoda,ch'ajaoda,chac.aota
채널,chaeneol,chaeneol,ch'aenŏl,chaynel
채소,chaeso,chaeso,ch'aeso,chāyso
채소밭,chaesobat,chaesobat,ch'aesobat,chāysopath
채식주의,chaesikjuui,chaesigjuui,ch'aesikchuŭi,chāysikqcwuuy
채식주의자,chaesikjuuija,chaesigjuuija,ch'aesikchuŭija,chāysikqcwuuyca
채용하다,chaeyonghada,chaeyonghada,ch'aeyonghada,chāyyonghata
채우다,chae-uda,chae-uda,ch'aeuda,chaywuta
채찍,chaejjik,chaejjig,ch'aetchik,chayccik
채팅,chaeting,chaeting,ch'aet'ing,chaything
책가방,chaekgabang,chaeggabang,ch'aekkabang,chaykqkapang
책갈피,chaekgalpi,chaeggalpi,ch'aekkalp'i,chaykqkalphi
책들,chaekdeul,chaegdeul,ch'aektŭl,chaykqtul
책략,chaengnyak,chaeglyag,ch'aengnyak,chayklyak
책방,chaekbang,chaegbang,ch'aekpang,chaykqpang
책상,chaeksang,chaegsang,ch'aeksang,chaykqsang
책씻이,chaekssisi,chaegssis-i,ch'aekssisi,chaykssis.i
책임,chaegim,chaeg-im,ch'aegim,chayk.im
책임감,chaegimgam,chaeg-imgam,ch'aegimgam,chayk.imkam
책임자,chaegimja,chaeg-imja,ch'aegimja,chayk.imca
책임지다,chaegimjida,chaeg-imjida,ch'aegimjida,chayk.imcita
책장,chaekjang,chaegjang,ch'aekchang,chaykqcang
책하다,chaekhada,chaeg-hada,ch'aekhada,chayk.hata
챔피언,chaempieon,chaempieon,ch'aemp'iŏn,chaymphien
챙기다,chaenggida,chaenggida,ch'aenggida,chayngkita
처남,cheonam,cheonam,ch'ŏnam,chenam
처녀막,cheonyeomak,cheonyeomag,ch'ŏnyŏmak,chēnyemak
처럼,cheoreom,cheoleom,ch'ŏrŏm,chelem
처리,cheori,cheoli,ch'ŏri,chēli
처방,cheobang,cheobang,ch'ŏbang,chepang
처벌,cheobeol,cheobeol,ch'ŏbŏl,chēpel
처지,cheoji,cheoji,ch'ŏji,chēci
척량,cheongnyang,cheoglyang,ch'ŏngnyang,cheklyang
